"AmazonID","Name","Price","Added"
"0262536161","Energy and Civilization: A History",14.45,"21 May 2023"
"B00L9AXW4G","The Interstellar Age: Inside the Forty-Year Voyager Mission",7.49,"4 May 2023"
"B0043M6780","Hyperion (Hyperion Cantos Book 1)",3.99,"1 May 2023"
"B0049MPHZI","Revelation Space: The breath-taking space opera masterpiece (S.F. MASTERWORKS Book 163)",4.99,"1 May 2023"
"B00BAJ6GJY","The Martian Chronicles (Voyager Classics)",4.99,"1 May 2023"
"B00AVUMIDG","Raft (S.F. MASTERWORKS Book 160)",3.99,"1 May 2023"
"1471195201","The 7 Habits Of Highly Effective People: Revised and Updated: 30th Anniversary Edition",12.17,"10 April 2023"
"1786185709","I am the Law: How Judge Dredd Predicted Our Future",11.18,"4 September 2022"
"1543179479","Conscious Coaching: The Art and Science of Building Buy-In",17.65,"26 March 2023"
"0670923176","Leaders Eat Last: Why Some Teams Pull Together and Others Don't",10.11,"26 March 2023"
"1953953212","Scaling People: Tactics for Management and Company Building",22.44,"5 March 2023"
"0674245954","Six Faces of Globalization: Who Wins, Who Loses, and Why It Matters",26.95,"25 January 2023"
"1250235375","Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity",14.71,"14 January 2023"
"0345472322","Mindset: The New Psychology of Success",19.98,"14 January 2023"
"1633691780","The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change)",17.99,"11 December 2022"
"B07ZLGQZYC","The Great CEO Within: The Tactical Guide to Company Building",7.79,"14 November 2022"
"0060555661","Intelligent Investor: The Definitive Book on Value Investing - A Book of Practical Counsel",14.52,"23 October 2022"
"0091906814","How to Win Friends and Influence People",10.95,"23 October 2022"
"1471146723","Shoe Dog: A Memoir by the Creator of NIKE",8.39,"23 October 2022"
"1119895189","If It's Smart, It's Vulnerable",17.26,"26 September 2022"
"1468093657","The Making of Prince of Persia: Journals 1985 - 1993",14.24,"30 August 2022"
"1501124021","Principles: Life and Work",20.0,"17 August 2022"
"0323997317","Hayabusa2 Asteroid Sample Return Mission: Technological Innovation and Advances",123.0,"16 August 2022"
"1788178564","Expert Secrets: The Underground Playbook for Converting Your Online Visitors into Lifelong Customers",12.79,"6 August 2022"
"1788178556","Dotcom Secrets: The Underground Playbook for Growing Your Company Online with Sales Funnels",13.89,"6 August 2022"
"3982195705","Zero to Sold: How to Start, Run, and Sell a Bootstrapped Business",16.99,"6 August 2022"
"1788167546","The Unfair Advantage: BUSINESS BOOK OF THE YEAR AWARD-WINNER: How You Already Have What It Takes to Succeed",9.49,"6 August 2022"
"152309513X","Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time [Paperback]",12.46,"31 July 2022"
"1847941494","Never Split the Difference: Negotiating as if Your Life Depended on It",8.99,"23 July 2022"
"1847941834","Atomic Habits: the life-changing million-copy #1 bestseller",8.9,"23 July 2022"
"0190495995","The Elephant in the Brain: Hidden Motives in Everyday Life",23.25,"23 July 2022"
"B01M9JOAFI","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",17.49,"23 July 2022"
"184794292X","Exponential: Order and Chaos in an Age of Accelerating Technology",10.11,"10 July 2022"
"1736633309","Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value",14.7,"3 July 2022"
"1526605481","Behind the Enigma: The Authorised History of GCHQ, Britain’s Secret Cyber-Intelligence Agency",11.55,"4 February 2022"
"0140444440","Penguin Classics Homer The Iliad",9.19,"20 January 2022"
"0140449116","The Odyssey (Penguin Classics)",3.95,"20 January 2022"
"1484262271","Data Teams: A Unified Management Model for Successful Data-Focused Teams",34.99,"14 February 2021"
"147460188X","The Ascent of Gravity: The Quest to Understand the Force that Explains Everything",8.19,"9 January 2021"
"1942788916","Sooner Safer Happier: Patterns and Antipatterns for Organizational Agility: Antipatterns and Patterns for Business Agility",21.35,"2 January 2021"
"0672326140","Inmates Are Running the Asylum, The: Why High Tech Products Drive Us Crazy and How to Restore the Sanity",23.45,"11 December 2020"
"1119551447","Testing Business Ideas: A Field Guide for Rapid Experimentation (The Strategyzer Series)",21.95,"8 September 2020"
"0465050654","The Design Of Everyday Things: Revised And Expanded Edition",14.77,"7 September 2020"
"1838607684","How to Lose the Information War: Russia, Fake News, and the Future of Conflict",19.13,"29 July 2020"
"0062273205","The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers",17.0,"6 January 2016"
"B0739PYQSS","Extreme Ownership: How U.S. Navy SEALs Lead and Win",6.99,"24 May 2020"
"B01BWD0U62","The Grand Tour - A Voyage of a Lifetime - NASA JPL Space Tourism Travel Poster - Unframed (24 x 36) by DigitalFusion Space Posters",-inf,"9 February 2020"
"B07QT9QR41","The Unicorn Project: A Novel about Developers, Digital Disruption, and Thriving in the Age of Data",9.99,"25 December 2019"
"0262042878","The Joy of Search: A Google Insider's Guide to Going Beyond the Basics (The MIT Press)",21.35,"29 October 2019"
"1509865837","Children of Ruin (The Children of Time Novels, 2)",29.51,"24 May 2019"
