"AmazonID","Name","Price","Added"
"0262536161","Energy and Civilization: A History",14.45,"21 May 2023"
"B00L9AXW4G","The Interstellar Age: Inside the Forty-Year Voyager Mission",6.49,"4 May 2023"
"B0043M6780","Hyperion (Hyperion Cantos Book 1)",3.99,"1 May 2023"
"B0049MPHZI","Revelation Space: The breath-taking space opera masterpiece (S.F. MASTERWORKS Book 163)",4.99,"1 May 2023"
"B00BAJ6GJY","The Martian Chronicles (Voyager Classics)",4.99,"1 May 2023"
"B00AVUMIDG","Raft (S.F. MASTERWORKS Book 160)",3.99,"1 May 2023"
"1471195201","The 7 Habits Of Highly Effective People: Revised and Updated: 30th Anniversary Edition",12.17,"10 April 2023"
"1786185709","I am the Law: How Judge Dredd Predicted Our Future",11.19,"4 September 2022"
"1543179479","Conscious Coaching: The Art and Science of Building Buy-In",19.99,"26 March 2023"
"0670923176","Leaders Eat Last: Why Some Teams Pull Together and Others Don't",10.11,"26 March 2023"
"1953953212","Scaling People: Tactics for Management and Company Building",-inf,"5 March 2023"
"0674245954","Six Faces of Globalization: Who Wins, Who Loses, and Why It Matters",26.95,"25 January 2023"
"1250235375","Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity",14.71,"14 January 2023"
"0345472322","Mindset: The New Psychology of Success",19.99,"14 January 2023"
"1633691780","The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change)",17.99,"11 December 2022"
"B07ZLGQZYC","The Great CEO Within: The Tactical Guide to Company Building",7.79,"14 November 2022"
"0060555661","Intelligent Investor: The Definitive Book on Value Investing - A Book of Practical Counsel",14.23,"23 October 2022"
"0091906814","How to Win Friends and Influence People",10.95,"23 October 2022"
"1471146723","Shoe Dog: A Memoir by the Creator of NIKE",8.39,"23 October 2022"
"1119895189","If It's Smart, It's Vulnerable",17.26,"26 September 2022"
"1468093657","The Making of Prince of Persia: Journals 1985 - 1993",13.47,"30 August 2022"
"1501124021","Principles: Life and Work",20.0,"17 August 2022"
"0323997317","Hayabusa2 Asteroid Sample Return Mission: Technological Innovation and Advances",145.64,"16 August 2022"
"1788178564","Expert Secrets: The Underground Playbook for Converting Your Online Visitors into Lifelong Customers",12.79,"6 August 2022"
"1788178556","Dotcom Secrets: The Underground Playbook for Growing Your Company Online with Sales Funnels",13.89,"6 August 2022"
"3982195705","Zero to Sold: How to Start, Run, and Sell a Bootstrapped Business",20.31,"6 August 2022"
"1788167546","The Unfair Advantage: BUSINESS BOOK OF THE YEAR AWARD-WINNER: How You Already Have What It Takes to Succeed",9.49,"6 August 2022"
"152309513X","Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time [Paperback]",12.46,"31 July 2022"
"1847941494","Never Split the Difference: Negotiating as if Your Life Depended on It",8.99,"23 July 2022"
"1847941834","Atomic Habits: the life-changing million-copy #1 bestseller",9.0,"23 July 2022"
"0190495995","The Elephant in the Brain: Hidden Motives in Everyday Life",23.25,"23 July 2022"
"B01M9JOAFI","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",17.49,"23 July 2022"
"184794292X","Exponential: Order and Chaos in an Age of Accelerating Technology",10.11,"10 July 2022"
"1736633309","Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value",14.79,"3 July 2022"
"1526605481","Behind the Enigma: The Authorised History of GCHQ, Britain’s Secret Cyber-Intelligence Agency",13.6,"4 February 2022"
"0140444440","Penguin Classics Homer The Iliad",9.19,"20 January 2022"
"0140449116","The Odyssey (Penguin Classics)",6.99,"20 January 2022"
"1484262271","Data Teams: A Unified Management Model for Successful Data-Focused Teams",34.99,"14 February 2021"
"147460188X","The Ascent of Gravity: The Quest to Understand the Force that Explains Everything",8.26,"9 January 2021"
"1942788916","Sooner Safer Happier: Patterns and Antipatterns for Organizational Agility: Antipatterns and Patterns for Business Agility",21.28,"2 January 2021"
"0672326140","Inmates Are Running the Asylum, The: Why High Tech Products Drive Us Crazy and How to Restore the Sanity",20.4,"11 December 2020"
"1119551447","Testing Business Ideas: A Field Guide for Rapid Experimentation (The Strategyzer Series)",21.95,"8 September 2020"
"0465050654","The Design Of Everyday Things: Revised And Expanded Edition",12.2,"7 September 2020"
"1838607684","How to Lose the Information War: Russia, Fake News, and the Future of Conflict",19.1,"29 July 2020"
"0062273205","The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers",17.0,"6 January 2016"
"B0739PYQSS","Extreme Ownership: How U.S. Navy SEALs Lead and Win",6.99,"24 May 2020"
"B01BWD0U62","The Grand Tour - A Voyage of a Lifetime - NASA JPL Space Tourism Travel Poster - Unframed (24 x 36) by DigitalFusion Space Posters",-inf,"9 February 2020"
"B07QT9QR41","The Unicorn Project: A Novel about Developers, Digital Disruption, and Thriving in the Age of Data",9.99,"25 December 2019"
"0262042878","The Joy of Search: A Google Insider's Guide to Going Beyond the Basics (The MIT Press)",21.35,"29 October 2019"
"1509865837","Children of Ruin (The Children of Time Novels, 2)",14.0,"24 May 2019"
"1447273303","Children of Time",7.69,"24 May 2019"
"1942788339","Accelerate: The Science of Lean Software and Devops: Building and Scaling High Performing Technology Organizations",15.95,"25 June 2018"
"1936661837","Traction: Get a Grip on Your Business",12.29,"14 May 2019"
"1509841105","The Secret Barrister: Stories of the Law and How It's Broken",10.99,"10 May 2019"
"0062292986","Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers (Collins Business Essentials)",17.15,"21 April 2019"
"1781257922","Moneyland: Why Thieves And Crooks Now Rule The World And How To Take It Back",2.04,"19 March 2019"
"147213995X","Mindset - Updated Edition: Changing The Way You think To Fulfil Your Potential",9.09,"19 March 2019"
"1119085292","How to Measure Anything in Cybersecurity Risk",44.0,"7 March 2019"
"0124202314","Measuring and Managing Information Risk: A FAIR Approach",34.99,"7 March 2019"
"1541773837","Dawn of the Code War: America's Battle Against Russia, China, and the Rising Global Cyber Threat",5.35,"16 February 2019"
"0241250838","Team of Teams: New Rules of Engagement for a Complex World",9.85,"12 February 2019"
"1491973897","The Manager`s Path: A Guide for Tech Leaders Navigating Growth and Change",20.0,"18 January 2019"
"B07F3DJMZ1","Project to Product: How to Survive and Thrive in the Age of Digital Disruption with the Flow Framework",9.99,"31 January 2019"
"0691176884","The Diversity Bonus: How Great Teams Pay off in the Knowledge Economy (Our Compelling Interests): 2",24.26,"31 January 2019"
"0141038225","Antifragile: Things that Gain from Disorder",11.95,"31 January 2019"
"0691127026","Complex Adaptive Systems: An Introduction to Computational Models of Social Life (Princeton Studies in Complexity): 14",22.21,"31 January 2019"
"1787474437","Shoot for the Moon: How the Moon Landings Taught us the 8 Secrets of Success",0.77,"26 January 2019"
"1509845380","Radical Candor: How to Get What You Want by Saying What You Mean",10.9,"18 January 2019"
"0692866809","Developer Hegemony: The Future of Labor",27.33,"18 January 2019"
