"AmazonID","Name","Price","Added"
"0674245954","Six Faces of Globalization: Who Wins, Who Loses, and Why It Matters",25.95,"25 January 2023"
"1250235375","Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity",24.86,"14 January 2023"
"0345472322","Mindset: The New Psychology of Success",20.66,"14 January 2023"
"1633691780","The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change)",17.99,"11 December 2022"
"B07ZLGQZYC","The Great CEO Within: The Tactical Guide to Company Building",7.79,"14 November 2022"
"0060555661","Intelligent Investor: The Definitive Book on Value Investing - A Book of Practical Counsel",14.52,"23 October 2022"
"0091906814","How to Win Friends and Influence People",8.83,"23 October 2022"
"1471146723","Shoe Dog: A Memoir by the Creator of NIKE",8.39,"23 October 2022"
"1119895189","If It's Smart, It's Vulnerable",17.26,"26 September 2022"
"1786185709","I am the Law: How Judge Dredd Predicted Our Future",13.19,"4 September 2022"
"1468093657","The Making of Prince of Persia: Journals 1985 - 1993",14.09,"30 August 2022"
"1501124021","Principles: Life and Work",20.0,"17 August 2022"
"0323997317","Hayabusa2 Asteroid Sample Return Mission: Technological Innovation and Advances",123.0,"16 August 2022"
"1788178564","Expert Secrets: The Underground Playbook for Converting Your Online Visitors into Lifelong Customers",12.79,"6 August 2022"
"1788178556","Dotcom Secrets: The Underground Playbook for Growing Your Company Online with Sales Funnels",14.99,"6 August 2022"
"3982195705","Zero to Sold: How to Start, Run, and Sell a Bootstrapped Business",20.31,"6 August 2022"
"1788167546","The Unfair Advantage: BUSINESS BOOK OF THE YEAR AWARD-WINNER: How You Already Have What It Takes to Succeed",9.49,"6 August 2022"
"152309513X","Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time [Paperback]",12.48,"31 July 2022"
"1847941494","Never Split the Difference: Negotiating as if Your Life Depended on It",7.69,"23 July 2022"
"1847941834","Atomic Habits: the life-changing million-copy #1 bestseller",9.0,"23 July 2022"
