"AmazonID","Name","Price","Added"
"1633691780","The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change)",17.53,"11 December 2022"
"B07ZLGQZYC","The Great CEO Within: The Tactical Guide to Company Building",7.79,"14 November 2022"
"B0BHX6NLGZ","Engineering Management for the Rest of Us",13.99,"6 November 2022"
"0060555661","Intelligent Investor: The Definitive Book on Value Investing - A Book of Practical Counsel",14.52,"23 October 2022"
"0091906814","How to Win Friends and Influence People",8.85,"23 October 2022"
"1471146723","Shoe Dog: A Memoir by the Creator of NIKE",8.39,"23 October 2022"
"1119895189","If It's Smart, It's Vulnerable",15.89,"26 September 2022"
"1786185709","I am the Law: How Judge Dredd Predicted Our Future",13.19,"4 September 2022"
"1468093657","The Making of Prince of Persia: Journals 1985 - 1993",14.24,"30 August 2022"
"1501124021","Principles: Life and Work",19.45,"17 August 2022"
