"AmazonID","Name","Price","Added"
"0262536161","Energy and Civilization: A History",14.76,"21 May 2023"
"B00L9AXW4G","The Interstellar Age: Inside the Forty-Year Voyager Mission",7.99,"4 May 2023"
"B0043M6780","Hyperion (Hyperion Cantos Book 1)",3.99,"1 May 2023"
"B0049MPHZI","Revelation Space: The breath-taking space opera masterpiece (S.F. MASTERWORKS Book 163)",4.99,"1 May 2023"
"B00BAJ6GJY","The Martian Chronicles (Voyager Classics)",4.99,"1 May 2023"
"B00AVUMIDG","Raft (S.F. MASTERWORKS Book 160)",3.99,"1 May 2023"
"1471195201","The 7 Habits Of Highly Effective People: Revised and Updated: 30th Anniversary Edition",12.17,"10 April 2023"
"1786185709","I am the Law: How Judge Dredd Predicted Our Future",11.19,"4 September 2022"
"1543179479","Conscious Coaching: The Art and Science of Building Buy-In",17.65,"26 March 2023"
"0670923176","Leaders Eat Last: Why Some Teams Pull Together and Others Don't",10.11,"26 March 2023"
